Student,Exam,Minute,EDA,BVP,TEMP,HR,Grade
S1,Final,0,0.023410942,-0.882382812,22.155,120.9903333,182
S1,Final,1,0.023720592,1.048971354,22.04666667,130.8756667,182
S1,Final,2,0.0239128,-0.195609375,22.023,131.6138333,182
S1,Final,3,0.023854063,0.0420625,22.33933333,109.5605,182
S1,Final,4,0.023795321,-0.018817708,22.41566667,81.02333333,182
S1,Final,5,0.024088962,-0.261846354,22.345,104.504,182
S1,Final,6,0.0240463,0.00603125,20.642,120.952,182
S1,Final,7,0.024153096,0.179085938,19.24633333,102.204,182
S1,Final,8,0.024137058,-0.074145833,19.401,91.83116667,182
S1,Final,9,0.023928879,0.130846354,18.62216667,113.719,182
S1,Final,10,0.023731329,0.026664063,19.81333333,130.4558333,182
S1,Final,11,0.023448321,0.001773437,20.804,107.6785,182
S1,Final,12,0.023560454,-0.001114583,20.95866667,109.4866667,182
S1,Final,13,0.023688554,-0.011057292,21.15833333,122.6808333,182
S1,Final,14,0.023597813,0.010018229,21.29033333,122.3641667,182
S1,Final,15,0.023635175,0.016609375,21.302,110.6278333,182
S1,Final,16,0.02368855,-0.009591146,21.33266667,125.4215,182
S1,Final,17,0.023683196,-0.022471354,21.39066667,119.779,182
S1,Final,18,0.024633538,-0.041997396,22.07333333,108.6728333,182
S1,Final,19,0.023998183,-0.027596354,25.37133333,97.47383333,182
S1,Final,20,0.056047529,0.41778125,27.67066667,102.0475,182
S1,Final,21,0.127759292,-0.394726563,29.85733333,121.1285,182
S1,Final,22,0.11958545,-0.328697917,30.05166667,111.92,182
S1,Final,23,0.126734213,0.651252604,30.17633333,93.30683333,182
S1,Final,24,0.122649958,-0.736979167,30.312,86.5445,182
S1,Final,25,0.13339715,0.345809896,30.34466667,86.15083333,182
S1,Final,26,0.132249325,0.315875,30.39333333,89.3905,182
S1,Final,27,0.134977404,-0.623822917,30.44733333,79.68383333,182
S1,Final,28,0.134539679,0.279559896,30.40866667,78.81733333,182
S1,Final,29,0.132131838,0.189010417,30.38933333,81.96466667,182
S1,Final,30,0.137283854,-0.222476563,30.44266667,78.7295,182
S1,Final,31,0.141875292,0.066039063,30.48933333,84.182,182
S1,Final,32,0.145633913,0.147445313,30.51966667,82.36466667,182
S1,Final,33,0.150460196,0.112203125,30.57366667,71.90816667,182
S1,Final,34,0.154288313,-0.054263021,30.672,68.58666667,182
S1,Final,35,0.155937887,-0.11934375,30.65133333,114.4713333,182
S1,Final,36,0.158190975,0.012856771,30.65166667,123.0063333,182
S1,Final,37,0.160534638,0.017143229,30.681,120.1035,182
S1,Final,38,0.161298171,-0.135786458,30.56966667,118.7145,182
S1,Final,39,0.163236208,0.093317708,30.55333333,122.4018333,182
S1,Final,40,0.161485037,0.014929688,30.458,106.2898333,182
S1,Final,41,0.166242,0.19534375,30.54166667,87.29766667,182
S1,Final,42,0.1649393,-0.751184896,30.68866667,95.11216667,182
S1,Final,43,0.164320008,0.775869792,30.64733333,92.865,182
S1,Final,44,0.168874067,-0.220651042,30.73133333,111.1405,182
S1,Final,45,0.168959479,0.018393229,30.77833333,97.98916667,182
S1,Final,46,0.170566517,-0.141341146,30.75166667,74.78583333,182
S1,Final,47,0.179546462,0.169794271,30.79933333,86.97183333,182
S1,Final,48,0.179156767,-0.092390625,30.73566667,109.1353333,182
S1,Final,49,0.180737075,-0.041919271,30.71733333,113.8125,182
S1,Final,50,0.181399108,0.183393229,30.76733333,109.1908333,182
S1,Final,51,0.178526783,-0.133367188,30.83733333,103.2901667,182
S1,Final,52,0.178964546,-0.082523438,30.83266667,90.5825,182
S1,Final,53,0.179663929,0.295898438,30.81933333,100.7038333,182
S1,Final,54,0.178409288,-0.164666667,30.741,94.8035,182
S1,Final,55,0.169157017,-0.12128125,30.69166667,87.37416667,182
S1,Final,56,0.17042235,0.109244792,30.64666667,78.3515,182
S1,Final,57,0.173759171,-0.013763021,30.75033333,75.12566667,182
S1,Final,58,0.174586717,0.053046875,30.82766667,83.09833333,182
S1,Final,59,0.170801337,0.039111979,30.88266667,90.19666667,182
S1,Final,60,0.174378404,-0.035583333,30.86266667,73.17133333,182
S1,Final,61,0.178649546,-0.065091146,30.963,92.67983333,182
S1,Final,62,0.177394975,0.067835938,30.994,96.46266667,182
S1,Final,63,0.179770717,0.023065104,31.11766667,99.67433333,182
S1,Final,64,0.177672554,-0.090851563,31.16066667,106.9165,182
S1,Final,65,0.172616617,0.138164063,31.04133333,97.92283333,182
S1,Final,66,0.178777758,-0.063057292,30.96866667,88.975,182
S1,Final,67,0.177234688,0.031447917,30.97266667,101.6226667,182
S1,Final,68,0.184778587,-0.048455729,31.00766667,105.6141667,182
S1,Final,69,0.186081346,-0.150617188,31.05666667,106.86,182
S1,Final,70,0.1856969,0.316273437,31.03433333,106.9386667,182
S1,Final,71,0.186166704,-0.188864583,31.003,97.1345,182
S1,Final,72,0.182231942,0.038510417,30.94066667,94.99983333,182
S1,Final,73,0.190208279,0.046169271,30.911,102.2513333,182
S1,Final,74,0.186946254,0.012502604,30.91966667,106.0431667,182
S1,Final,75,0.186657917,-0.045356771,30.80933333,105.6105,182
S1,Final,76,0.182952708,-0.044085937,30.66366667,87.0505,182
S1,Final,77,0.185782375,-0.060619792,30.72966667,75.099,182
S1,Final,78,0.183064846,0.072552083,30.75333333,73.78366667,182
S1,Final,79,0.197357029,-0.050963542,30.655,85.00783333,182
S1,Final,80,0.187079687,0.013578125,30.62366667,100.9663333,182
S1,Final,81,0.180347283,0.047976563,30.64233333,106.3673333,182
S1,Final,82,0.179786729,0.002895833,30.559,92.88716667,182
S1,Final,83,0.183796296,0.048830729,30.631,92.30316667,182
S1,Final,84,0.1838123,-0.178049479,30.613,103.2298333,182
S1,Final,85,0.184047192,0.207601563,30.50766667,107.9018333,182
S1,Final,86,0.185675563,-0.094197917,30.384,120.2636667,182
S1,Final,87,0.183225004,0.0375625,30.409,103.6635,182
S1,Final,88,0.185734308,0.029796875,30.39966667,104.5236667,182
S1,Final,89,0.179877483,-0.175541667,30.36666667,100.67,182
S1,Final,90,0.185002871,0.299057292,30.29533333,108.9756667,182
S1,Final,91,0.182552283,-0.361817708,30.275,91.18883333,182
S1,Final,92,0.183630758,0.185434896,30.18933333,92.1155,182
S1,Final,93,0.1870049,-0.007260417,30.18833333,109.0011667,182
S1,Final,94,0.184217996,-0.655481771,30.17233333,104.3843333,182
S1,Final,95,0.184618433,0.703177083,30.14133333,100.9468333,182
S1,Final,96,0.178137042,-0.059341146,30.08333333,102.7233333,182
S1,Final,97,0.184319488,0.015752604,30.081,84.78766667,182
S1,Final,98,0.187245117,-0.1485,30.13233333,87.251,182
S1,Final,99,0.188446383,0.187138021,30.13933333,106.6618333,182
S1,Final,100,0.189572925,-0.111348958,30.01066667,114.9733333,182
S1,Final,101,0.186246825,0.020247396,29.864,104.4681667,182
S1,Final,102,0.188062038,0.045804687,29.879,91.38966667,182
S1,Final,103,0.1901602,0.024721354,30.011,84.236,182
S1,Final,104,0.189220567,-0.306460938,29.923,93.762,182
S1,Final,105,0.186988929,0.323705729,29.917,92.3605,182
S1,Final,106,0.188013975,0.009617188,29.89633333,108.1028333,182
S1,Final,107,0.18534985,-0.131304688,29.945,104.9491667,182
S1,Final,108,0.193235425,0.026794271,29.95533333,102.1921667,182
S1,Final,109,0.193689171,0.032856771,30.05,79.4725,182
S1,Final,110,0.192322504,0.037505208,30.14866667,77.4515,182
S1,Final,111,0.189578246,0.044723958,29.99866667,80.4595,182
S1,Final,112,0.193577117,-0.076716146,29.85,73.3455,182
S1,Final,113,0.190608617,0.0006875,29.89366667,87.0825,182
S1,Final,114,0.192066233,0.029804688,30.00866667,109.1603333,182
S1,Final,115,0.191655088,0.037992187,30.06366667,104.8718333,182
S1,Final,116,0.193934829,-0.1805,29.99666667,97.332,182
S1,Final,117,0.195947608,0.135536458,29.85733333,87.92083333,182
S1,Final,118,0.194516713,0.009591146,29.718,88.8485,182
S1,Final,119,0.195712642,-0.025723958,29.658,67.8545,182
S1,Final,120,0.198360658,0.012122396,29.72266667,74.6595,182
S1,Final,121,0.193657204,-0.042473958,29.76133333,87.9625,182
S1,Final,122,0.198638379,-0.008002604,29.77233333,81.46316667,182
S1,Final,123,0.195338954,-0.228044271,29.80733333,90.74716667,182
S1,Final,124,0.194212388,0.250786458,29.76133333,76.17683333,182
S1,Final,125,0.188184821,0.010460938,29.706,73.319,182
S1,Final,126,0.19246665,-0.002510417,29.771,103.4171667,182
S1,Final,127,0.192605429,0.015682292,29.777,116.0035,182
S1,Final,128,0.189690408,-0.01815625,29.81233333,108.7023333,182
S1,Final,129,0.192477233,0.020335937,29.821,85.47433333,182
S1,Final,130,0.19529085,0.020481771,29.82233333,74.57033333,182
S1,Final,131,0.193390242,0.003432292,29.728,86.40416667,182
S1,Final,132,0.191430829,-0.152580729,29.661,84.74166667,182
S1,Final,133,0.195984946,0.067244792,29.657,77.23566667,182
S1,Final,134,0.193977513,-0.305192708,29.64933333,70.543,182
S1,Final,135,0.189215233,0.344882813,29.57333333,76.12933333,182
S1,Final,136,0.193785346,0.0263125,29.498,86.17733333,182
S1,Final,137,0.1907422,0.047315104,29.434,94.6755,182
S1,Final,138,0.195728642,-0.024502604,29.45666667,95.5575,182
S1,Final,139,0.196161104,-0.108604167,29.454,82.57616667,182
S1,Final,140,0.200747225,-0.734958333,29.26166667,99.59133333,182
S1,Final,141,0.205002371,1.046817708,29.09233333,81.97883333,182
S1,Final,142,0.202701225,-0.736815104,29.09833333,81.995,182
S1,Final,143,0.202952183,0.476669271,29.14766667,109.304,182
S1,Final,144,0.201601471,0.026497396,29.12633333,105.1943333,182
S1,Final,145,0.198568963,-0.041164062,29.05333333,95.86933333,182
S1,Final,146,0.200805946,0.045153646,29.04066667,82.82766667,182
S1,Final,147,0.199369792,-0.051276042,29.05333333,79.1575,182
S1,Final,148,0.203507417,0.048432292,29.164,90.50116667,182
S1,Final,149,0.210223767,-0.107375,29.20933333,95.085,182
S1,Final,150,0.211120663,0.042109375,29.42333333,83.254,182
S1,Final,151,0.204265538,0.048007813,29.62166667,80.73116667,182
S1,Final,152,0.207639738,-0.026455729,29.773,72.814,182
S1,Final,153,0.209043817,-0.152080729,29.801,75.031,182
S1,Final,154,0.203336563,-0.020265625,29.825,77.454,182
S1,Final,155,0.210506708,0.108171875,29.877,86.52433333,182
S1,Final,156,0.213832908,0.198809896,29.93433333,87.01383333,182
S1,Final,157,0.205312,-0.095726562,29.90466667,95.2495,182
S1,Final,158,0.210458675,-0.12103125,29.87066667,89.66216667,182
S1,Final,159,0.208990492,0.036997396,29.908,89.76733333,182
S1,Final,160,0.207538304,0.279106771,29.96633333,105.1968333,182
S1,Final,161,0.214153183,-0.067229167,30.02433333,91.88116667,182
S1,Final,162,0.206539912,0.043414062,30.054,97.9885,182
S1,Final,163,0.208424533,-0.250578125,30.01533333,75.738,182
S1,Final,164,0.215845633,0.047223958,29.99633333,69.3395,182
S1,Final,165,0.214825913,-0.154164062,30.051,78.91483333,182
S1,Final,166,0.213469738,0.113088542,30.06733333,72.62133333,182
S1,Final,167,0.207917421,0.067846354,30.048,88.13883333,182
S1,Final,168,0.218605808,0.129783854,30.10333333,84.53766667,182
S1,Final,169,0.223843263,-0.242692708,30.01933333,82.7595,182
S1,Final,170,0.213982325,0.018002604,30.007,80.213,182
S1,Final,171,0.217361821,-0.037268229,29.876,110.1623333,182
S1,Final,172,0.216571642,0.151997396,29.77333333,149.8153333,182
S1,Final,173,0.214259921,0.033411458,29.797,94.74716667,182
S1,Final,174,0.217879704,-0.114440104,29.816,107.2138333,182
S1,Final,175,0.219193083,0.057572917,29.836,95.7135,182
S1,Final,176,0.213672708,0.082953125,29.894,93.59183333,182
S1,Final,177,0.215674783,-0.017794271,29.824,77.87866667,182
S1,Final,178,0.218461617,-0.123984375,29.74866667,81.875,182
